,x,y,z,v
19,122,31.5,-5.0,0.374145893239
0,122,29.8,-6.0,1.9351224542
1,122,29.8899320592,-6.0,1.81080738609
2,122,29.9798641185,-6.0,1.58521057181
3,122,30.0697961777,-6.0,1.28385106069
4,122,30.1597282369,-6.0,0.958505838105
5,122,30.2496602961,-6.0,0.660951889589
6,122,30.3395923554,-6.0,0.442966200518
7,122,30.4295244146,-6.0,0.336686341967
8,122,30.5194564738,-6.0,0.307559331142
9,122,30.609388533,-6.0,0.329629580572
10,122,30.6993205923,-6.0,0.378229249519
11,122,30.7892526515,-6.0,0.428690497052
12,122,30.8791847107,-6.0,0.458796734576
13,122,30.96911677,-6.0,0.491727971967
14,122,31.0590488292,-6.0,0.533673837471
15,122,31.1489808884,-6.0,0.576298712434
16,122,31.2389129476,-6.0,0.611266978173
17,122,31.3288450069,-6.0,0.630243016015
18,122,31.4187770661,-6.0,0.630497734915
19,122,31.5,-6.0,0.62112268434
0,122,29.8,-7.0,1.91242817406
1,122,29.8899320592,-7.0,1.79447637122
2,122,29.9798641185,-7.0,1.59497904595
3,122,30.0697961777,-7.0,1.33372225616
4,122,30.1597282369,-7.0,1.05537206669
5,122,30.2496602961,-7.0,0.804594542551
6,122,30.3395923554,-7.0,0.626055748595
7,122,30.4295244146,-7.0,0.549129686341
8,122,30.5194564738,-7.0,0.546074573833
9,122,30.609388533,-7.0,0.591036099524
10,122,30.6993205923,-7.0,0.659062453537
11,122,30.7892526515,-7.0,0.725201825738
12,122,30.8791847107,-7.0,0.767277199879
13,122,30.96911677,-7.0,0.812784230302
14,122,31.0590488292,-7.0,0.865973830353
15,122,31.1489808884,-7.0,0.914115688412
16,122,31.2389129476,-7.0,0.944479492817
17,122,31.3288450069,-7.0,0.944334931885
18,122,31.4187770661,-7.0,0.905671601468
19,122,31.5,-7.0,0.844260252794
0,122,29.8,-8.0,1.88565858384
1,122,29.8899320592,-8.0,1.77324901121
2,122,29.9798641185,-8.0,1.59484985631
3,122,30.0697961777,-8.0,1.36575823194
4,122,30.1597282369,-8.0,1.12495789088
5,122,30.2496602961,-8.0,0.91143258607
6,122,30.3395923554,-8.0,0.764166070323
7,122,30.4295244146,-8.0,0.710163530323
8,122,30.5194564738,-8.0,0.726925117193
9,122,30.609388533,-8.0,0.789014225226
10,122,30.6993205923,-8.0,0.871609165885
11,122,30.7892526515,-8.0,0.949888250338
12,122,30.8791847107,-8.0,1.00204455557
13,122,30.96911677,-8.0,1.05891868157
14,122,31.0590488292,-8.0,1.12300764241
15,122,31.1489808884,-8.0,1.17794384592
16,122,31.2389129476,-8.0,1.20735969987
17,122,31.3288450069,-8.0,1.19488761199
18,122,31.4187770661,-8.0,1.12856225045
19,122,31.5,-8.0,1.029450686
0,122,29.8,-9.0,1.84352049127
1,122,29.8899320592,-9.0,1.7366433741
2,122,29.9798641185,-9.0,1.5745044784
3,122,30.0697961777,-9.0,1.36932774815
4,122,30.1597282369,-9.0,1.15614013372
5,122,30.2496602961,-9.0,0.969968585631
6,122,30.3395923554,-9.0,0.845840054323
7,122,30.4295244146,-9.0,0.809085304286
8,122,30.5194564738,-9.0,0.840823427915
9,122,30.609388533,-9.0,0.915961007213
10,122,30.6993205923,-9.0,1.00982243399
11,122,30.7892526515,-9.0,1.09773209973
12,122,30.8791847107,-9.0,1.15819737455
13,122,30.96911677,-9.0,1.22442675133
14,122,31.0590488292,-9.0,1.29763693906
15,122,31.1489808884,-9.0,1.35884990186
16,122,31.2389129476,-9.0,1.38908760383
17,122,31.3288450069,-9.0,1.36937200898
18,122,31.4187770661,-9.0,1.28505869613
19,122,31.5,-9.0,1.16093505184
0,122,29.8,-10.0,1.81756646531
1,122,29.8899320592,-10.0,1.71560528101
2,122,29.9798641185,-10.0,1.56501888956
3,122,30.0697961777,-10.0,1.37608278027
4,122,30.1597282369,-10.0,1.18145055479
5,122,30.2496602961,-10.0,1.01377581491
6,122,30.3395923554,-10.0,0.905712162333
7,122,30.4295244146,-10.0,0.881784543664
8,122,30.5194564738,-10.0,0.925531278839
9,122,30.609388533,-10.0,1.01164811947
10,122,30.6993205923,-10.0,1.11510532791
11,122,30.7892526515,-10.0,1.2108731661
12,122,30.8791847107,-10.0,1.27722257491
13,122,30.96911677,-10.0,1.34882601054
14,122,31.0590488292,-10.0,1.42642747574
15,122,31.1489808884,-10.0,1.48972824761
16,122,31.2389129476,-10.0,1.51842960313
17,122,31.3288450069,-10.0,1.49223281925
18,122,31.4187770661,-10.0,1.39497048831
19,122,31.5,-10.0,1.25368641317
0,122,29.8,-11.0,1.80588344395
1,122,29.8899320592,-11.0,1.70846248788
2,122,29.9798641185,-11.0,1.56774221426
3,122,30.0697961777,-11.0,1.39242777874
4,122,30.1597282369,-11.0,1.21303947551
5,122,30.2496602961,-11.0,1.06009759893
6,122,30.3395923554,-11.0,0.964122443262
7,122,30.4295244146,-11.0,0.949097646397
8,122,30.5194564738,-11.0,1.00096518174
9,122,30.609388533,-11.0,1.09384718247
10,122,30.6993205923,-11.0,1.2019883751
11,122,30.7892526515,-11.0,1.29963348577
12,122,30.8791847107,-11.0,1.36429564934
13,122,30.96911677,-11.0,1.42989825514
14,122,31.0590488292,-11.0,1.49807767707
15,122,31.1489808884,-11.0,1.54980919145
16,122,31.2389129476,-11.0,1.56606807456
17,122,31.3288450069,-11.0,1.5278296026
18,122,31.4187770661,-11.0,1.41935017432
19,122,31.5,-11.0,1.26765861171
0,122,29.8,-12.0,1.80745818149
1,122,29.8899320592,-12.0,1.71487836903
2,122,29.9798641185,-12.0,1.58373224653
3,122,30.0697961777,-12.0,1.42132625921
4,122,30.1597282369,-12.0,1.25614348255
5,122,30.2496602961,-12.0,1.1166669921
6,122,30.3395923554,-12.0,1.03137986337
7,122,30.4295244146,-12.0,1.02382627195
8,122,30.5194564738,-12.0,1.08234055678
9,122,30.609388533,-12.0,1.18033448101
10,122,30.6993205923,-12.0,1.29118754361
11,122,30.7892526515,-12.0,1.38827924316
12,122,30.8791847107,-12.0,1.44816806222
13,122,30.96911677,-12.0,1.503185708
14,122,31.0590488292,-12.0,1.55637944586
15,122,31.1489808884,-12.0,1.59098534687
16,122,31.2389129476,-12.0,1.59023948204
17,122,31.3288450069,-12.0,1.53737792229
18,122,31.4187770661,-12.0,1.41780738057
19,122,31.5,-12.0,1.25772682819
0,122,29.8,-13.0,1.80773541578
1,122,29.8899320592,-13.0,1.72025106258
2,122,29.9798641185,-13.0,1.59893356331
3,122,30.0697961777,-13.0,1.44970818044
4,122,30.1597282369,-13.0,1.29890268535
5,122,30.2496602961,-13.0,1.17284484953
6,122,30.3395923554,-13.0,1.09786244441
7,122,30.4295244146,-13.0,1.09699116099
8,122,30.5194564738,-13.0,1.16104185564
9,122,30.609388533,-13.0,1.26276615001
10,122,30.6993205923,-13.0,1.37472506766
11,122,30.7892526515,-13.0,1.46947963174
12,122,30.8791847107,-13.0,1.52263003793
13,122,30.96911677,-13.0,1.56424528377
14,122,31.0590488292,-13.0,1.59908310725
15,122,31.1489808884,-13.0,1.6133219783
16,122,31.2389129476,-13.0,1.59314036682
17,122,31.3288450069,-13.0,1.52471674258
18,122,31.4187770661,-13.0,1.39514376218
19,122,31.5,-13.0,1.22913750369
0,122,29.8,-14.0,1.803255711
1,122,29.8899320592,-14.0,1.72138721976
2,122,29.9798641185,-14.0,1.6103013839
3,122,30.0697961777,-14.0,1.47460087492
4,122,30.1597282369,-14.0,1.33842565566
5,122,30.2496602961,-14.0,1.22591568907
6,122,30.3395923554,-14.0,1.16121093809
7,122,30.4295244146,-14.0,1.16678527265
8,122,30.5194564738,-14.0,1.23590624374
9,122,30.609388533,-14.0,1.34075122709
10,122,30.6993205923,-14.0,1.45315204576
11,122,30.7892526515,-14.0,1.54494052244
12,122,30.8791847107,-14.0,1.59082802315
13,122,30.96911677,-14.0,1.61838687261
14,122,31.0590488292,-14.0,1.63413738208
15,122,31.1489808884,-14.0,1.62738992442
16,122,31.2389129476,-14.0,1.58745487248
17,122,31.3288450069,-14.0,1.50364259896
18,122,31.4187770661,-14.0,1.36488581799
19,122,31.5,-14.0,1.19417918083
0,122,29.8,-15.0,1.79040540444
1,122,29.8899320592,-15.0,1.71463864319
2,122,29.9798641185,-15.0,1.61412162612
3,122,30.0697961777,-15.0,1.4922038164
4,122,30.1597282369,-15.0,1.37083374949
5,122,30.2496602961,-15.0,1.27195996096
6,122,30.3395923554,-15.0,1.21753098631
7,122,30.4295244146,-15.0,1.22942215062
8,122,30.5194564738,-15.0,1.3033169522
9,122,30.609388533,-15.0,1.41089269906
10,122,30.6993205923,-15.0,1.52333045611
11,122,30.7892526515,-15.0,1.61181128787
12,122,30.8791847107,-15.0,1.6502173385
13,122,30.96911677,-15.0,1.66339919764
14,122,31.0590488292,-15.0,1.65969520319
15,122,31.1489808884,-15.0,1.63173483182
16,122,31.2389129476,-15.0,1.57214756016
17,122,31.3288450069,-15.0,1.47356286471
18,122,31.4187770661,-15.0,1.32692349656
19,122,31.5,-15.0,1.15322785158
0,122,29.8,-16.0,1.7699663256
1,122,29.8899320592,-16.0,1.700841698
2,122,29.9798641185,-16.0,1.61127611718
3,122,30.0697961777,-16.0,1.50343443239
4,122,30.1597282369,-16.0,1.39706836701
5,122,30.2496602961,-16.0,1.31192964448
6,122,30.3395923554,-16.0,1.26776998823
7,122,30.4295244146,-16.0,1.28582638043
8,122,30.5194564738,-16.0,1.36415622135
9,122,30.609388533,-16.0,1.47401596664
10,122,30.6993205923,-16.0,1.58601960838
11,122,30.7892526515,-16.0,1.67078113825
12,122,30.8791847107,-16.0,1.70141968025
13,122,30.96911677,-16.0,1.69985976367
14,122,31.0590488292,-16.0,1.67629915046
15,122,31.1489808884,-16.0,1.62684814569
16,122,31.2389129476,-16.0,1.54761705437
17,122,31.3288450069,-16.0,1.43471618142
18,122,31.4187770661,-16.0,1.28127061151
19,122,31.5,-16.0,1.1060674929
0,122,29.8,-17.0,1.74137905821
1,122,29.8899320592,-17.0,1.67933952139
2,122,29.9798641185,-17.0,1.60106173248
3,122,30.0697961777,-17.0,1.5075827348
4,122,30.1597282369,-17.0,1.41643502006
5,122,30.2496602961,-17.0,1.34515108004
6,122,30.3395923554,-17.0,1.31126340649
7,122,30.4295244146,-17.0,1.33531976545
8,122,30.5194564738,-17.0,1.41772015364
9,122,30.609388533,-17.0,1.52938898249
10,122,30.6993205923,-17.0,1.64046608904
11,122,30.7892526515,-17.0,1.72109130992
12,122,30.8791847107,-17.0,1.74369641419
13,122,30.96911677,-17.0,1.72708261435
14,122,31.0590488292,-17.0,1.68333836114
15,122,31.1489808884,-17.0,1.61220291592
16,122,31.2389129476,-17.0,1.51341554008
17,122,31.3288450069,-17.0,1.38671549485
18,122,31.4187770661,-17.0,1.22754381276
19,122,31.5,-17.0,1.05225031988
0,122,29.8,-18.0,1.70544934163
1,122,29.8899320592,-18.0,1.65100548586
2,122,29.9798641185,-18.0,1.58430648214
3,122,30.0697961777,-18.0,1.50535004278
4,122,30.1597282369,-18.0,1.42947613553
5,122,30.2496602961,-18.0,1.37202472821
6,122,30.3395923554,-18.0,1.34833578864
7,122,30.4295244146,-18.0,1.37824991584
8,122,30.5194564738,-18.0,1.46444865423
9,122,30.609388533,-18.0,1.57758345267
10,122,30.6993205923,-18.0,1.68738409951
11,122,30.7892526515,-18.0,1.76358038269
12,122,30.8791847107,-18.0,1.77796440297
13,122,30.96911677,-18.0,1.74601604138
14,122,31.0590488292,-18.0,1.68176674822
15,122,31.1489808884,-18.0,1.5887526834
16,122,31.2389129476,-18.0,1.47051000687
17,122,31.3288450069,-18.0,1.33057487841
18,122,31.4187770661,-18.0,1.16690389648
19,122,31.5,-18.0,0.993190841721
0,122,29.8,-19.0,1.66186876905
1,122,29.8899320592,-19.0,1.6154782307
2,122,29.9798641185,-19.0,1.5607333635
3,122,30.0697961777,-19.0,1.49663799149
4,122,30.1597282369,-19.0,1.43630484998
5,122,30.2496602961,-19.0,1.39284667436
6,122,30.3395923554,-19.0,1.37937620004
7,122,30.4295244146,-19.0,1.41496731341
8,122,30.5194564738,-19.0,1.50455869401
9,122,30.609388533,-19.0,1.61862598949
10,122,30.6993205923,-19.0,1.72659003683
11,122,30.7892526515,-19.0,1.79787167263
12,122,30.8791847107,-19.0,1.80370750163
13,122,30.96911677,-19.0,1.75606676562
14,122,31.0590488292,-19.0,1.67094536507
15,122,31.1489808884,-19.0,1.55581065049
16,122,31.2389129476,-19.0,1.4181299724
17,122,31.3288450069,-19.0,1.26537068116
18,122,31.4187770661,-19.0,1.09811915247
19,122,31.5,-19.0,0.927208461206
0,122,29.8,-20.0,1.61060128815
1,122,29.8899320592,-20.0,1.57272443489
2,122,29.9798641185,-20.0,1.53020870627
3,122,30.0697961777,-20.0,1.4811450305
4,122,30.1597282369,-20.0,1.43643521942
5,122,30.2496602961,-20.0,1.40698108488
6,122,30.3395923554,-20.0,1.40368443875
7,122,30.4295244146,-20.0,1.44482671957
8,122,30.5194564738,-20.0,1.53754796789
9,122,30.609388533,-20.0,1.65221511601
10,122,30.6993205923,-20.0,1.75801206947
11,122,30.7892526515,-20.0,1.82412273338
12,122,30.8791847107,-20.0,1.82128441739
13,122,30.96911677,-20.0,1.75776928836
14,122,31.0590488292,-20.0,1.65157858226
15,122,31.1489808884,-20.0,1.51426126729
16,122,31.2389129476,-20.0,1.3573663117
17,122,31.3288450069,-20.0,1.19244268355
18,122,31.4187770661,-20.0,1.02289612778
19,122,31.5,-20.0,0.856489759675
0,122,29.8,-21.0,1.55256357907
1,122,29.8899320592,-21.0,1.52363671561
2,122,29.9798641185,-21.0,1.49362007205
3,122,30.0697961777,-21.0,1.45975935707
4,122,30.1597282369,-21.0,1.43075082407
5,122,30.2496602961,-21.0,1.41529072645
6,122,30.3395923554,-21.0,1.42207531768
7,122,30.4295244146,-21.0,1.46856034881
8,122,30.5194564738,-21.0,1.56403785967
9,122,30.609388533,-21.0,1.67884013281
10,122,30.6993205923,-21.0,1.78199295957
11,122,30.7892526515,-21.0,1.84252213092
12,122,30.8791847107,-21.0,1.83072969206
13,122,30.96911677,-21.0,1.751021328
14,122,31.0590488292,-21.0,1.62343116529
15,122,31.1489808884,-21.0,1.46371765248
16,122,31.2389129476,-21.0,1.28763923816
17,122,31.3288450069,-21.0,1.11095437076
18,122,31.4187770661,-21.0,0.940002795448
19,122,31.5,-21.0,0.779285896742
0,122,29.8,-22.0,1.48675207693
1,122,29.8899320592,-22.0,1.46718547447
2,122,29.9798641185,-22.0,1.44998510048
3,122,30.0697961777,-22.0,1.43160202374
4,122,30.1597282369,-22.0,1.41850694385
5,122,30.2496602961,-22.0,1.41717056045
6,122,30.3395923554,-22.0,1.43406357319
7,122,30.4295244146,-22.0,1.48576773787
8,122,30.5194564738,-22.0,1.58369549827
9,122,30.609388533,-22.0,1.69822985365
10,122,30.6993205923,-22.0,1.79832788367
11,122,30.7892526515,-22.0,1.8529466676
12,122,30.8791847107,-22.0,1.83202582772
13,122,30.96911677,-22.0,1.73591530666
14,122,31.0590488292,-22.0,1.58671193876
15,122,31.1489808884,-22.0,1.40452561064
16,122,31.2389129476,-22.0,1.20946620901
17,122,31.3288450069,-22.0,1.02164362036
18,122,31.4187770661,-22.0,0.850503216361
19,122,31.5,-22.0,0.697080327333
0,122,29.8,-23.0,1.41427075611
1,122,29.8899320592,-23.0,1.40357883235
2,122,29.9798641185,-23.0,1.39895588852
3,122,30.0697961777,-23.0,1.3959643271
4,122,30.1597282369,-23.0,1.39876743111
5,122,30.2496602961,-23.0,1.41152848359
6,122,30.3395923554,-23.0,1.43841076759
7,122,30.4295244146,-23.0,1.49506135322
8,122,30.5194564738,-23.0,1.59505535149
9,122,30.609388533,-23.0,1.70888825027
10,122,30.6993205923,-23.0,1.80550940095
11,122,30.7892526515,-23.0,1.85386815455
12,122,30.8791847107,-23.0,1.82358996468
13,122,30.96911677,-23.0,1.7108202929
14,122,31.0590488292,-23.0,1.53974877022
15,122,31.1489808884,-23.0,1.33495440615
16,122,31.2389129476,-23.0,1.12101621034
17,122,31.3288450069,-23.0,0.92251319219
18,122,31.4187770661,-23.0,0.752119600827
19,122,31.5,-23.0,0.607227880872
0,122,29.8,-24.0,1.37426462443
1,122,29.8899320592,-24.0,1.37110908469
2,122,29.9798641185,-24.0,1.37644462579
3,122,30.0697961777,-24.0,1.38513576405
4,122,30.1597282369,-24.0,1.39952855734
5,122,30.2496602961,-24.0,1.42196906353
6,122,30.3395923554,-24.0,1.45480334053
7,122,30.4295244146,-24.0,1.51290507817
8,122,30.5194564738,-24.0,1.61150596747
9,122,30.609388533,-24.0,1.72126829324
10,122,30.6993205923,-24.0,1.81121823159
11,122,30.7892526515,-24.0,1.8503819583
12,122,30.8791847107,-24.0,1.80813584608
13,122,30.96911677,-24.0,1.67618975027
14,122,31.0590488292,-24.0,1.48088017788
15,122,31.1489808884,-24.0,1.25144486774
16,122,31.2389129476,-24.0,1.01712155881
17,122,31.3288450069,-24.0,0.807147989814
18,122,31.4187770661,-24.0,0.637653245404
19,122,31.5,-24.0,0.502232597079
0,122,29.8,-25.0,1.38639721337
1,122,29.8899320592,-25.0,1.39151945693
2,122,29.9798641185,-25.0,1.4066717164
3,122,30.0697961777,-25.0,1.42609408309
4,122,30.1597282369,-25.0,1.45070118761
5,122,30.2496602961,-25.0,1.48140766055
6,122,30.3395923554,-25.0,1.51912813255
7,122,30.4295244146,-25.0,1.57867565382
8,122,30.5194564738,-25.0,1.67727353162
9,122,30.609388533,-25.0,1.78456409664
10,122,30.6993205923,-25.0,1.86841342477
11,122,30.7892526515,-25.0,1.89668759162
12,122,30.8791847107,-25.0,1.83721646836
13,122,30.96911677,-25.0,1.67592213078
14,122,31.0590488292,-25.0,1.44284661285
15,122,31.1489808884,-25.0,1.17413812142
16,122,31.2389129476,-25.0,0.905944863467
17,122,31.3288450069,-25.0,0.674415045727
18,122,31.4187770661,-25.0,0.50029203617
19,122,31.5,-25.0,0.371878352986
0,122,29.8,-26.0,1.41807628963
1,122,29.8899320592,-26.0,1.43171929573
2,122,29.9798641185,-26.0,1.45796936432
3,122,30.0697961777,-26.0,1.49013110314
4,122,30.1597282369,-26.0,1.52728212067
5,122,30.2496602961,-26.0,1.56850002537
6,122,30.3395923554,-26.0,1.61286242574
7,122,30.4295244146,-26.0,1.67547068647
8,122,30.5194564738,-26.0,1.77656241969
9,122,30.609388533,-26.0,1.88370252446
10,122,30.6993205923,-26.0,1.96245355035
11,122,30.7892526515,-26.0,1.97837804666
12,122,30.8791847107,-26.0,1.896545899
13,122,30.96911677,-26.0,1.69564765407
14,122,31.0590488292,-26.0,1.4109679083
15,122,31.1489808884,-26.0,1.08785261607
16,122,31.2389129476,-26.0,0.771647731917
17,122,31.3288450069,-26.0,0.50769921013
18,122,31.4187770661,-26.0,0.322425095484
19,122,31.5,-26.0,0.197344317789
0,122,29.8,-27.0,1.5068801621
1,122,29.8899320592,-27.0,1.53322399415
2,122,29.9798641185,-27.0,1.56940420782
3,122,30.0697961777,-27.0,1.60983981417
4,122,30.1597282369,-27.0,1.65329270563
5,122,30.2496602961,-27.0,1.69852477463
6,122,30.3395923554,-27.0,1.74429791364
7,122,30.4295244146,-27.0,1.80722995842
8,122,30.5194564738,-27.0,1.909912999
9,122,30.609388533,-27.0,2.01647602147
10,122,30.6993205923,-27.0,2.08882155207
11,122,30.7892526515,-27.0,2.0888521168
12,122,30.8791847107,-27.0,1.97749409716
